city,population,violent crime,murder,rape1,rape2,robbery,aggravated assault,property crime,burglary,larceny theft,motor vehicle theft,arson,vc per capita
Adrian,1611,4.0,0,1,,0,3.0,35,12,21,2,0,0.002482929857231533
Advance,1369,1.0,0,0,,0,1.0,9,5,4,0,0,0.0007304601899196494
Alma,392,0.0,0,0,,0,0.0,1,0,1,0,0,0.0
Anderson,1980,13.0,0,1,,1,11.0,56,5,42,9,0,0.0065656565656565654
Annapolis,343,0.0,0,0,,0,0.0,3,0,3,0,1,0.0
Arcadia,569,0.0,0,0,,0,0.0,1,0,1,0,0,0.0
Archie,1205,2.0,0,0,,0,2.0,9,1,8,0,0,0.0016597510373443983
Arnold,21461,40.0,3,3,,11,23.0,784,38,710,36,0,0.0018638460463165742
Ash Grove,1465,2.0,0,0,,0,2.0,67,24,43,0,0,0.0013651877133105802
Ashland,3895,6.0,0,0,,0,6.0,58,3,49,6,0,0.0015404364569961489
Aurora,7471,55.0,0,6,,3,46.0,311,68,230,13,1,0.007361798955963057
Auxvasse,985,2.0,0,0,,0,2.0,27,10,16,1,0,0.0020304568527918783
Ava,2924,7.0,0,0,,0,7.0,83,12,67,4,0,0.0023939808481532147
Ballwin,30609,11.0,0,5,,1,5.0,236,21,206,9,2,0.00035937142670456403
Bates City,219,0.0,0,0,,0,0.0,7,0,4,3,0,0.0
Battlefield,6083,3.0,0,1,,1,1.0,91,26,61,4,0,0.0004931777083675817
Bella Villa,739,3.0,0,0,,0,3.0,6,1,5,0,0,0.0040595399188092015
Belle,1524,3.0,0,0,,0,3.0,11,2,9,0,0,0.001968503937007874
Bellefontaine Neighbors,10788,110.0,3,6,,22,79.0,329,111,167,51,0,0.010196514645902856
Bellflower,358,0.0,0,0,,0,0.0,2,2,0,0,0,0.0
Bel-Nor,1479,4.0,0,0,,0,4.0,27,4,21,2,0,0.002704530087897228
Bel-Ridge,2719,46.0,1,6,,3,36.0,109,43,55,11,0,0.016917984553144538
Belton,23170,71.0,2,15,,19,35.0,856,127,648,81,3,0.0030643072939145447
Bernie,1949,1.0,0,0,,0,1.0,14,4,8,2,0,0.000513083632632119
Bertrand,786,1.0,0,0,,0,1.0,37,10,26,1,0,0.001272264631043257
Bethany,3122,2.0,0,0,,0,2.0,93,22,66,5,0,0.0006406149903907751
Beverly Hills,564,4.0,0,0,,2,2.0,36,10,21,5,1,0.0070921985815602835
Billings,1092,3.0,0,1,,0,2.0,13,3,7,3,0,0.0027472527472527475
Birch Tree,658,4.0,0,0,,0,4.0,4,1,2,1,0,0.0060790273556231
Bismarck,1491,4.0,0,0,,0,4.0,31,10,19,2,0,0.0026827632461435278
Blackburn,250,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Bloomfield,1897,7.0,0,0,,0,7.0,16,6,10,0,0,0.0036900369003690036
Blue Springs,54445,81.0,1,23,,18,39.0,1500,182,1206,112,1,0.001487739921021214
Bolivar,10790,79.0,0,10,,4,65.0,642,84,514,44,1,0.00732159406858202
Bonne Terre,7175,16.0,0,2,,0,14.0,67,6,51,10,0,0.002229965156794425
Boonville,8423,7.0,0,0,,1,6.0,224,50,162,12,1,0.0008310578178796153
Bourbon,1620,8.0,0,2,,0,6.0,40,9,28,3,0,0.0049382716049382715
Branson,11593,84.0,1,11,,25,47.0,1388,155,1145,88,2,0.007245751746743725
Branson West,434,3.0,0,0,,0,3.0,86,2,81,3,0,0.0069124423963133645
Braymer,842,0.0,0,0,,0,0.0,1,0,1,0,0,0.0
Breckenridge Hills,4709,32.0,0,2,,6,24.0,140,14,115,11,0,0.006795497982586537
Brentwood,8058,16.0,0,0,,14,2.0,402,26,360,16,1,0.0019856043683296105
Bridgeton,11835,110.0,4,8,,28,70.0,890,80,761,49,6,0.009294465568229826
Brookfield,4324,18.0,0,1,,0,17.0,83,20,60,3,2,0.004162812210915819
Bucklin,442,0.0,0,0,,0,0.0,1,0,1,0,0,0.0
Buckner,3065,8.0,0,1,,0,7.0,56,19,33,4,1,0.0026101141924959217
Buffalo,3031,18.0,0,1,,1,16.0,161,25,125,11,0,0.0059386341141537445
Butler,4067,12.0,0,4,,0,8.0,132,27,95,10,1,0.0029505778214900416
Butterfield Village,464,0.0,0,0,,0,0.0,2,1,1,0,0,0.0
Byrnes Mill,2910,2.0,0,0,,0,2.0,9,2,6,1,0,0.0006872852233676976
Cabool,2126,2.0,0,0,,0,2.0,52,12,39,1,1,0.0009407337723424271
California,4415,14.0,0,0,,4,10.0,65,18,41,6,0,0.0031710079275198188
Calverton Park,1287,6.0,0,0,,4,2.0,22,5,13,4,0,0.004662004662004662
Camden,185,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Camdenton3,3907,13.0,0,0,,1,12.0,193,15,169,9,0,0.0033273611466598414
Cameron,9817,50.0,0,12,,4,34.0,174,21,142,11,4,0.005093205663644698
Campbell,1908,2.0,0,0,,1,1.0,43,19,23,1,0,0.0010482180293501049
Canton,2391,12.0,0,0,,0,12.0,43,7,34,2,0,0.005018820577164366
Cape Girardeau,39738,236.0,5,10,,54,167.0,1628,227,1332,69,6,0.005938899793648397
Cardwell,682,2.0,0,0,,1,1.0,13,4,8,1,0,0.002932551319648094
Carl Junction,7780,0.0,0,0,,0,0.0,127,30,87,10,0,0.0
Carrollton,3610,7.0,0,1,,0,6.0,85,24,59,2,0,0.0019390581717451524
Carterville,1843,0.0,0,0,,0,0.0,42,2,36,4,0,0.0
Carthage,14300,40.0,2,6,,5,27.0,570,62,480,28,3,0.002797202797202797
Caruthersville,5887,83.0,0,4,,6,73.0,260,94,153,13,2,0.014098861899099712
Cassville,3311,16.0,0,2,,0,14.0,189,22,156,11,1,0.004832376925400181
Center,505,0.0,0,0,,0,0.0,3,0,2,1,0,0.0
Centralia,4226,13.0,0,0,,0,13.0,85,20,61,4,1,0.003076194983435873
Chaffee,2940,0.0,0,0,,0,0.0,35,10,20,5,1,0.0
Charlack,1372,4.0,0,0,,1,3.0,46,14,28,4,0,0.0029154518950437317
Chesterfield,47939,57.0,0,7,,9,41.0,868,55,780,33,2,0.0011890110348567972
Chillicothe,9495,39.0,0,4,,2,33.0,156,37,112,7,0,0.004107424960505529
Clarkton,1220,9.0,0,0,,0,9.0,23,3,16,4,1,0.007377049180327869
Claycomo,1475,8.0,1,1,,0,6.0,61,8,42,11,0,0.005423728813559322
Clayton,15873,19.0,0,0,,7,12.0,301,56,222,23,1,0.001197001197001197
Cleveland,663,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Clever,2592,7.0,0,0,,0,7.0,14,4,8,2,0,0.002700617283950617
Clinton,8878,26.0,0,2,,4,20.0,357,63,273,21,0,0.002928587519711647
Cole Camp,1101,0.0,0,0,,0,0.0,29,11,17,1,0,0.0
Columbia,121143,517.0,6,111,,127,273.0,3245,530,2469,246,13,0.004267683646599473
Concordia,2378,6.0,0,2,,0,4.0,25,5,19,1,0,0.002523128679562658
Conway,774,1.0,0,0,,0,1.0,12,7,4,1,0,0.0012919896640826874
Cooter,437,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Corder,395,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Cottleville,5151,2.0,0,0,,0,2.0,34,3,30,1,0,0.00038827412152980003
Country Club Hills,1271,5.0,0,0,,2,3.0,46,15,26,5,0,0.003933910306845004
Country Club Village,2465,3.0,0,0,,0,3.0,20,4,16,0,0,0.0012170385395537525
Crane,1337,6.0,0,0,,0,6.0,25,6,18,1,0,0.004487658937920718
Creighton,343,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Crestwood,11977,11.0,0,1,,2,8.0,276,18,247,11,0,0.0009184269850546882
Creve Coeur,18367,22.0,0,5,,5,12.0,281,31,227,23,1,0.001197800402896499
Crocker,1061,3.0,0,0,,0,3.0,32,10,20,2,1,0.002827521206409048
Crystal City,4845,14.0,1,0,,1,12.0,178,10,152,16,0,0.002889576883384933
Crystal Lakes,346,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Cuba,3380,5.0,0,0,,0,5.0,108,17,85,6,1,0.0014792899408284023
Delta,440,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Desloge,4916,13.0,2,0,,0,11.0,235,36,197,2,4,0.0026444263628966637
De Soto,6512,26.0,0,2,,0,24.0,199,30,159,10,0,0.003992628992628993
Des Peres,8611,8.0,0,0,,3,5.0,459,26,423,10,1,0.000929044245732203
Dexter,8014,10.0,0,0,,1,9.0,238,47,188,3,3,0.0012478163214374844
Diamond,930,0.0,0,0,,0,0.0,6,0,4,2,0,0.0
Dixon,1486,4.0,0,1,,0,3.0,53,8,43,2,1,0.0026917900403768506
Doniphan,1990,43.0,0,3,,3,37.0,157,26,129,2,1,0.021608040201005024
Doolittle,600,0.0,0,0,,0,0.0,1,0,1,0,0,0.0
Drexel,954,2.0,0,0,,0,2.0,14,4,10,0,0,0.0020964360587002098
Duenweg,1300,6.0,0,1,,0,5.0,41,7,28,6,0,0.004615384615384616
Duquesne,1730,6.0,0,0,,1,5.0,71,8,61,2,0,0.003468208092485549
East Lynne,304,0.0,0,0,,0,0.0,2,0,1,1,1,0.0
East Prairie,3150,6.0,0,0,,0,6.0,59,7,52,0,0,0.0019047619047619048
Edgar Springs,202,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Edina,1095,0.0,0,0,,0,0.0,5,1,4,0,0,0.0
Edmundson3,838,4.0,0,1,,0,3.0,58,8,43,7,0,0.00477326968973747
Eldon,4646,21.0,1,0,,2,18.0,117,10,103,4,0,0.004520017219113216
El Dorado Springs,3559,25.0,0,2,,0,23.0,189,41,140,8,1,0.0070244450688395615
Ellisville,9318,8.0,0,0,,2,6.0,140,8,119,13,1,0.0008585533376261
Elsberry,1996,13.0,0,0,,1,12.0,55,14,30,11,0,0.006513026052104208
Eureka,10681,6.0,0,2,,1,3.0,183,14,165,4,1,0.0005617451549480386
Everton,300,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Excelsior Springs,11562,11.0,0,4,,3,4.0,366,88,257,21,0,0.0009513924926483308
Fair Grove,1472,4.0,0,0,,0,4.0,32,4,25,3,1,0.002717391304347826
Fair Play,464,0.0,0,0,,0,0.0,7,1,5,1,0,0.0
Fairview,380,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Farmington,18564,77.0,0,1,,3,73.0,601,53,521,27,0,0.004147812971342383
Fayette,2705,4.0,0,1,,1,2.0,60,11,45,4,1,0.0014787430683918669
Ferguson,21032,170.0,9,7,,68,86.0,1091,292,684,115,1,0.008082921262837581
Ferrelview,464,1.0,0,1,,0,0.0,4,0,2,2,0,0.0021551724137931034
Festus,12157,72.0,0,7,,5,60.0,251,33,192,26,1,0.005922513778070248
Fleming,123,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Flordell Hills,812,17.0,1,0,,3,13.0,57,19,30,8,1,0.020935960591133004
Florissant,52266,98.0,2,8,,34,54.0,1172,183,881,108,2,0.001875023916121379
Fordland,818,1.0,0,0,,0,1.0,28,3,25,0,0,0.0012224938875305623
Foristell,523,7.0,0,0,,0,7.0,26,2,19,5,0,0.01338432122370937
Forsyth,2446,6.0,1,0,,1,4.0,91,7,80,4,1,0.0024529844644317253
Fredericktown,4097,15.0,0,0,,0,15.0,70,15,51,4,0,0.00366121552355382
Freeman,485,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
Frontenac,3872,6.0,0,2,,2,2.0,86,7,76,3,0,0.0015495867768595042
Fulton,12973,56.0,0,3,,11,42.0,446,85,342,19,2,0.004316657673629847
Garden City,1621,2.0,0,0,,0,2.0,29,13,16,0,0,0.0012338062924120913
Gerald,1313,12.0,0,2,,0,10.0,16,12,4,0,0,0.00913937547600914
Gideon,1031,1.0,0,0,,0,1.0,1,1,0,0,1,0.0009699321047526673
Gladstone,27138,85.0,0,8,,9,68.0,689,128,490,71,5,0.0031321394354779275
Glasgow,1103,0.0,0,0,,0,0.0,0,0,0,0,1,0.0
Glendale,5928,2.0,0,0,,0,2.0,64,7,54,3,0,0.00033738191632928474
Goodman,1230,0.0,0,0,,0,0.0,16,6,5,5,0,0.0
Gower,1496,2.0,0,0,,0,2.0,18,4,14,0,0,0.001336898395721925
Grain Valley,13484,19.0,0,4,,1,14.0,193,36,135,22,2,0.0014090774250964107
Granby,2127,7.0,0,1,,0,6.0,47,14,27,6,0,0.003291020216267043
Grandview,25412,138.0,1,5,,47,85.0,867,179,534,154,8,0.005430505273099323
Greenfield,1306,2.0,0,0,,0,2.0,9,3,6,0,1,0.0015313935681470138
Greenwood,5641,1.0,0,0,,1,0.0,25,6,17,2,0,0.0001772735330615139
Hamilton,1692,7.0,0,0,,0,7.0,29,7,22,0,1,0.004137115839243499
Hannibal,17825,74.0,1,15,,9,49.0,761,92,637,32,13,0.004151472650771389
Hardin,537,0.0,0,0,,0,0.0,3,1,2,0,0,0.0
Harrisonville,9975,45.0,1,8,,5,31.0,473,64,380,29,4,0.004511278195488722
Hartville,592,2.0,0,0,,0,2.0,9,0,8,1,0,0.0033783783783783786
Hawk Point,684,0.0,0,0,,0,0.0,5,1,4,0,0,0.0
Hayti,2759,33.0,1,0,,6,26.0,175,32,129,14,6,0.011960855382384922
Hazelwood4,25655,,2,5,,46,,870,178,596,96,1,
Henrietta,360,0.0,0,0,,0,0.0,8,2,6,0,0,0.0
Herculaneum,4030,8.0,0,0,,0,8.0,52,5,45,2,0,0.0019851116625310174
Hermann,2365,6.0,0,3,,0,3.0,31,0,29,2,1,0.002536997885835095
Higginsville,4638,4.0,0,1,,0,3.0,75,12,56,7,0,0.0008624407072013799
Highlandville,967,0.0,0,0,,0,0.0,5,2,3,0,0,0.0
Hillsboro,3121,5.0,0,3,,1,1.0,100,10,80,10,3,0.0016020506247997437
Hillsdale,1520,15.0,0,1,,1,13.0,25,10,7,8,1,0.009868421052631578
Holcomb,602,0.0,0,0,,0,0.0,3,1,2,0,0,0.0
Holden,2265,3.0,0,0,,0,3.0,84,10,66,8,0,0.0013245033112582781
Hollister,4515,20.0,0,2,,0,18.0,107,21,80,6,0,0.004429678848283499
Hornersville,630,4.0,0,0,,0,4.0,10,4,6,0,0,0.006349206349206349
Houston,2081,2.0,0,0,,0,2.0,146,21,123,2,0,0.0009610764055742432
Howardville,364,0.0,0,0,,0,0.0,1,1,0,0,0,0.0
Humansville,1036,1.0,0,0,,1,0.0,13,7,6,0,1,0.0009652509652509653
Huntsville,1516,2.0,0,0,,0,2.0,20,3,17,0,0,0.0013192612137203166
Iberia,745,6.0,0,1,,1,4.0,13,5,6,2,0,0.008053691275167786
Independence,117335,601.0,9,49,,140,403.0,6389,891,4542,956,15,0.005122086334000938
Indian Point,511,0.0,0,0,,0,0.0,1,0,0,1,0,0.0
Iron Mountain Lake,713,0.0,0,0,,0,0.0,1,1,0,0,1,0.0
Ironton,1379,3.0,1,2,,0,0.0,20,3,16,1,0,0.002175489485134155
Jackson,15092,24.0,0,3,,2,19.0,236,19,205,12,0,0.0015902464882056719
Jasper,927,1.0,0,1,,0,0.0,17,5,11,1,2,0.0010787486515641855
Jefferson City,43171,174.0,4,9,,35,126.0,1318,179,1085,54,1,0.0040304834263741865
Jonesburg,722,1.0,0,0,,1,0.0,23,2,19,2,0,0.0013850415512465374
Joplin,52001,329.0,2,52,,72,203.0,3779,569,2895,315,21,0.0063268014076652375
Kahoka,2013,1.0,0,0,,0,1.0,12,1,11,0,2,0.0004967709885742673
Kansas City,478364,7915.0,129,408,,1897,5481.0,20842,4764,12127,3951,188,0.016545977540115896
Kearney,9629,10.0,0,0,,1,9.0,107,11,86,10,0,0.0010385294423096896
Kennett,10610,67.0,5,14,,17,31.0,583,153,416,14,0,0.006314797360980207
Kimberling City,2290,7.0,0,0,,0,7.0,29,1,26,2,0,0.003056768558951965
Kimmswick,158,0.0,0,0,,0,0.0,0,0,0,0,0,0.0
King City,1004,2.0,0,0,,0,2.0,0,0,0,0,0,0.00199203187250996
Kinloch,299,8.0,2,0,,1,5.0,17,5,8,4,4,0.026755852842809364
Kirksville,17521,41.0,1,0,,4,36.0,572,93,464,15,2,0.002340049083956395
Kirkwood,27793,29.0,0,5,,9,15.0,501,41,430,30,0,0.0010434282013456625
Knob Noster,2771,3.0,0,0,,0,3.0,70,7,59,4,1,0.0010826416456153013
Laddonia,510,2.0,0,1,,0,1.0,8,3,3,2,0,0.00392156862745098
Ladue,8612,4.0,0,0,,2,2.0,92,12,71,9,0,0.00046446818392940084
La Grange,941,2.0,0,0,,0,2.0,3,1,2,0,0,0.0021253985122210413
Lake Lotawana,2029,0.0,0,0,,0,0.0,23,0,20,3,0,0.0
Lake Ozark,1795,2.0,0,0,,1,1.0,70,4,65,1,0,0.0011142061281337048
Lakeshire,1427,4.0,0,0,,1,3.0,14,11,3,0,0,0.002803083391730904
Lake St. Louis,15534,14.0,1,5,,2,6.0,288,26,257,5,0,0.0009012488734389082
Lake Tapawingo,723,3.0,0,0,,0,3.0,18,3,13,2,0,0.004149377593360996
Lake Waukomis,908,3.0,0,0,,0,3.0,7,0,4,3,0,0.003303964757709251
Lake Winnebago,1146,0.0,0,0,,0,0.0,3,0,3,0,0,0.0
Lamar,4330,11.0,0,2,,3,6.0,148,54,91,3,0,0.002540415704387991
Lanagan,410,0.0,0,0,,0,0.0,2,1,0,1,0,0.0
Laurie,929,3.0,0,0,,0,3.0,19,2,17,0,0,0.0032292787944025836
Lawson,2397,9.0,0,1,,0,8.0,39,12,26,1,0,0.0037546933667083854
Leadington,457,3.0,0,1,,0,2.0,35,11,16,8,0,0.006564551422319475
